,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,Nazirpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,61580,62302,123882,,,,,,,,,,
,, Hindu,28108,28369,56477,,,,,,,,,,
,, Christian,19,24,43,,,,,,,,,,
,, Other,4,2,6,,,,,,,,,,
,, Total,89711,90697,180408,,,,,,,,,,
,Pirojpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,67010,69389,136399,,,,,,,,,,
,, Hindu,13654,13339,26993,,,,,,,,,,
,, Christian,4,6,10,,,,,,,,,,
,, Buddhist,33,27,60,,,,,,,,,,
,, Other,3,5,8,,,,,,,,,,
,, Total,80704,82766,163470,,,,,,,,,,
,Nesarabad,,Male,Female,Total,,,,,,,,,,
,, Muslim,80935,83819,164754,,,,,,,,,,
,, Hindu,22816,23329,46145,,,,,,,,,,
,, Christian,58,57,115,,,,,,,,,,
,, Buddhist,7,6,13,,,,,,,,,,
,, Other,4,1,5,,,,,,,,,,
,, Total,103820,107212,211032,,,,,,,,,,
,Zianagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,34851,36112,70963,,,,,,,,,,
,, Hindu,3082,3147,6229,,,,,,,,,,
,, Christian,1,1,2,,,,,,,,,,
,, Other,13,10,23,,,,,,,,,,
,, Total,37947,39270,77217,,,,,,,,,,
,Alikadam,,Male,Female,Total,,,,,,,,,,
,, Muslim,14062,12618,26680,,,,,,,,,,
,, Hindu,854,801,1655,,,,,,,,,,
,, Christian,1833,1824,3657,,,,,,,,,,
,, Buddhist,7888,7345,15233,,,,,,,,,,
,, Other,1013,1079,2092,,,,,,,,,,
,, Total,25650,23667,49317,,,,,,,,,,
,Bandarban,,Male,Female,Total,,,,,,,,,,
,, Muslim,22623,16977,39600,,,,,,,,,,
,, Hindu,3724,3138,6862,,,,,,,,,,
,, Christian,2213,2298,4511,,,,,,,,,,
,, Buddhist,16931,16120,33051,,,,,,,,,,
,, Other,2196,2062,4258,,,,,,,,,,
,, Total,47687,40595,88282,,,,,,,,,,
,Lama,,Male,Female,Total,,,,,,,,,,
,, Muslim,40488,37002,77490,,,,,,,,,,
,, Hindu,1568,1450,3018,,,,,,,,,,
,, Christian,3408,3220,6628,,,,,,,,,,
,, Buddhist,10380,10015,20395,,,,,,,,,,
,, Other,766,698,1464,,,,,,,,,,
,, Total,56610,52385,108995,,,,,,,,,,
,Naikhongchhari,,Male,Female,Total,,,,,,,,,,
,, Muslim,24332,23571,47903,,,,,,,,,,
,, Hindu,272,222,494,,,,,,,,,,
,, Christian,164,124,288,,,,,,,,,,
,, Buddhist,6459,6399,12858,,,,,,,,,,
,, Other,120,125,245,,,,,,,,,,
,, Total,31347,30441,61788,,,,,,,,,,
,Rowangchhari,,Male,Female,Total,,,,,,,,,,
,, Muslim,1473,751,2224,,,,,,,,,,
,, Hindu,139,87,226,,,,,,,,,,
,, Christian,2281,2267,4548,,,,,,,,,,
,, Buddhist,9672,9217,18889,,,,,,,,,,
,, Other,678,699,1377,,,,,,,,,,
,, Total,14243,13021,27264,,,,,,,,,,
,Ruma,,Male,Female,Total,,,,,,,,,,
,, Muslim,1325,369,1694,,,,,,,,,,
,, Hindu,332,163,495,,,,,,,,,,
,, Christian,5744,5380,11124,,,,,,,,,,
,, Buddhist,5756,5570,11326,,,,,,,,,,
,, Other,2312,2147,4459,,,,,,,,,,
,, Total,15469,13629,29098,,,,,,,,,,
,Thanchi,,Male,Female,Total,,,,,,,,,,
,, Muslim,1094,402,1496,,,,,,,,,,
,, Hindu,256,131,387,,,,,,,,,,
,, Christian,4307,4270,8577,,,,,,,,,,
,, Buddhist,5756,5544,11300,,,,,,,,,,
,, Other,931,900,1831,,,,,,,,,,
,, Total,12344,11247,23591,,,,,,,,,,
,Akhaura,,Male,Female,Total,,,,,,,,,,
,, Muslim,65888,70899,136787,,,,,,,,,,
,, Hindu,4219,4204,8423,,,,,,,,,,
,, Buddhist,2,1,3,,,,,,,,,,
,, Other,1,1,2,,,,,,,,,,
,, Total,70110,75105,145215,,,,,,,,,,
,Banchharampur,,Male,Female,Total,,,,,,,,,,
,, Muslim,131907,151728,283635,,,,,,,,,,
,, Hindu,7209,7580,14789,,,,,,,,,,
,, Christian,1,4,5,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
