,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,Jatrabari,,Male,Female,Total,,,,,,,,,,
,, Muslim,238148,192889,431037,,,,,,,,,,
,, Hindu,6682,5209,11891,,,,,,,,,,
,, Christian,309,303,612,,,,,,,,,,
,, Buddhist,24,13,37,,,,,,,,,,
,, Other,13,11,24,,,,,,,,,,
,, Total,245176,198425,443601,,,,,,,,,,
,Kafrul,,Male,Female,Total,,,,,,,,,,
,, Muslim,204265,181246,385511,,,,,,,,,,
,, Hindu,4682,3762,8444,,,,,,,,,,
,, Christian,747,780,1527,,,,,,,,,,
,, Buddhist,371,260,631,,,,,,,,,,
,, Other,41,28,69,,,,,,,,,,
,, Total,210106,186076,396182,,,,,,,,,,
,Kadamtali,,Male,Female,Total,,,,,,,,,,
,, Muslim,195999,166500,362499,,,,,,,,,,
,, Hindu,4510,3664,8174,,,,,,,,,,
,, Christian,128,52,180,,,,,,,,,,
,, Buddhist,21,6,27,,,,,,,,,,
,, Other,15,-,15,,,,,,,,,,
,, Total,200673,170222,370895,,,,,,,,,,
,Kalabagan,,Male,Female,Total,,,,,,,,,,
,, Muslim,64194,47928,112122,,,,,,,,,,
,, Hindu,3215,2525,5740,,,,,,,,,,
,, Christian,230,324,554,,,,,,,,,,
,, Buddhist,94,90,184,,,,,,,,,,
,, Other,29,31,60,,,,,,,,,,
,, Total,67762,50898,118660,,,,,,,,,,
,Kamrangir char,,Male,Female,Total,,,,,,,,,,
,, Muslim,50683,42412,93095,,,,,,,,,,
,, Hindu,282,209,491,,,,,,,,,,
,, Christian,6,5,11,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Total,50973,42628,93601,,,,,,,,,,
,Khilgaon,,Male,Female,Total,,,,,,,,,,
,, Muslim,170602,150267,320869,,,,,,,,,,
,, Hindu,3688,2991,6679,,,,,,,,,,
,, Christian,29,27,56,,,,,,,,,,
,, Buddhist,49,44,93,,,,,,,,,,
,, Other,8,12,20,,,,,,,,,,
,, Total,174376,153341,327717,,,,,,,,,,
,Khilkhet,,Male,Female,Total,,,,,,,,,,
,, Muslim,70051,54706,124757,,,,,,,,,,
,, Hindu,2841,1833,4674,,,,,,,,,,
,, Christian,266,195,461,,,,,,,,,,
,, Buddhist,103,43,146,,,,,,,,,,
,, Other,10,5,15,,,,,,,,,,
,, Total,73271,56782,130053,,,,,,,,,,
,Keraniganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,391873,345612,737485,,,,,,,,,,
,, Hindu,29861,26896,56757,,,,,,,,,,
,, Christian,59,35,94,,,,,,,,,,
,, Buddhist,8,3,11,,,,,,,,,,
,, Other,8,5,13,,,,,,,,,,
,, Total,421809,372551,794360,,,,,,,,,,
,Kotwali,,Male,Female,Total,,,,,,,,,,
,, Muslim,28525,12611,41136,,,,,,,,,,
,, Hindu,11676,9019,20695,,,,,,,,,,
,, Christian,104,126,230,,,,,,,,,,
,, Buddhist,14,7,21,,,,,,,,,,
,, Other,3,2,5,,,,,,,,,,
,, Total,40322,21765,62087,,,,,,,,,,
,Lalbagh,,Male,Female,Total,,,,,,,,,,
,, Muslim,194045,166120,360165,,,,,,,,,,
,, Hindu,5324,4247,9571,,,,,,,,,,
,, Christian,49,40,89,,,,,,,,,,
,, Buddhist,39,49,88,,,,,,,,,,
,, Other,7,13,20,,,,,,,,,,
,, Total,199464,170469,369933,,,,,,,,,,
,Mirpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,257980,222346,480326,,,,,,,,,,
,, Hindu,8051,5915,13966,,,,,,,,,,
,, Christian,2621,2796,5417,,,,,,,,,,
,, Buddhist,323,213,536,,,,,,,,,,
,, Other,76,52,128,,,,,,,,,,
,, Total,269051,231322,500373,,,,,,,,,,
,302650,,Male,Female,Total,,,,,,,,,,
,, Muslim,187315,152825,340140,,,,,,,,,,
,, Hindu,7671,5486,13157,,,,,,,,,,
,, Christian,958,910,1868,,,,,,,,,,
,, Buddhist,306,235,541,,,,,,,,,,
,, Other,71,66,137,,,,,,,,,,
,, Total,196321,159522,355843,,,,,,,,,,
,Motijheel,,Male,Female,Total,,,,,,,,,,
,, Muslim,117374,82687,200061,,,,,,,,,,
,, Hindu,5340,3813,9153,,,,,,,,,,
,, Christian,474,97,571,,,,,,,,,,
,, Buddhist,111,83,194,,,,,,,,,,
,, Other,16,11,27,,,,,,,,,,
,, Total,123315,86691,210006,,,,,,,,,,
,Nawabganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,118533,134287,252820,,,,,,,,,,
,, Hindu,28784,32303,61087,,,,,,,,,,
,, Christian,1963,2914,4877,,,,,,,,,,
,, Other,18,9,27,,,,,,,,,,
,, Total,149298,169513,318811,,,,,,,,,,
,New market,,Male,Female,Total,,,,,,,,,,
,, Muslim,31187,15861,47048,,,,,,,,,,
,, Hindu,1402,916,2318,,,,,,,,,,
,, Christian,34,21,55,,,,,,,,,,
,, Buddhist,54,31,85,,,,,,,,,,
,, Other,8,9,17,,,,,,,,,,
,, Total,32685,16838,49523,,,,,,,,,,
,Pallabi,,Male,Female,Total,,,,,,,,,,
,, Muslim,305990,279285,585275,,,,,,,,,,
,, Hindu,5951,4824,10775,,,,,,,,,,
,, Christian,346,256,602,,,,,,,,,,
,, Buddhist,72,55,127,,,,,,,,,,
,, Other,31,25,56,,,,,,,,,,
,, Total,312390,284445,596835,,,,,,,,,,
,Paltan,,Male,Female,Total,,,,,,,,,,
,, Muslim,34652,22014,56666,,,,,,,,,,
,, Hindu,1604,1276,2880,,,,,,,,,,
,, Christian,20,14,34,,,,,,,,,,
,, Buddhist,26,20,46,,,,,,,,,,
,, Other,9,4,13,,,,,,,,,,
,, Total,36311,23328,59639,,,,,,,,,,
,302666,,Male,Female,Total,,,,,,,,,,
,, Muslim,102841,88241,191082,,,,,,,,,,
,, Hindu,4314,3411,7725,,,,,,,,,,
,, Christian,919,922,1841,,,,,,,,,,
,, Buddhist,172,125,297,,,,,,,,,,
,, Other,16,12,28,,,,,,,,,,
,, Total,108262,92711,200973,,,,,,,,,,
,Rampura,,Male,Female,Total,,,,,,,,,,
,, Muslim,114904,101686,216590,,,,,,,,,,
,, Hindu,3955,3077,7032,,,,,,,,,,
,, Christian,169,135,304,,,,,,,,,,
,, Buddhist,63,62,125,,,,,,,,,,
,, Other,12,16,28,,,,,,,,,,
,, Total,119103,104976,224079,,,,,,,,,,
,Sabujbagh,,Male,Female,Total,,,,,,,,,,
,, Muslim,193261,162915,356176,,,,,,,,,,
,, Hindu,9776,8097,17873,,,,,,,,,,
,, Christian,117,90,207,,,,,,,,,,
,, Buddhist,1289,796,2085,,,,,,,,,,
,, Other,47,33,80,,,,,,,,,,
,, Total,204490,171931,376421,,,,,,,,,,
,Savar,,Male,Female,Total,,,,,,,,,,
,, Muslim,693617,607181,1300798,,,,,,,,,,
,, Hindu,39511,34569,74080,,,,,,,,,,
,, Christian,3987,3989,7976,,,,,,,,,,
,, Buddhist,1465,1243,2708,,,,,,,,,,
,, Other,184,164,348,,,,,,,,,,
,, Total,738764,647146,1385910,,,,,,,,,,
,Shah ali,,Male,Female,Total,,,,,,,,,,
,, Muslim,60670,52925,113595,,,,,,,,,,
,, Hindu,1066,688,1754,,,,,,,,,,
,, Christian,58,55,113,,,,,,,,,,
,, Buddhist,17,6,23,,,,,,,,,,
,, Other,2,2,4,,,,,,,,,,
,, Total,61813,53676,115489,,,,,,,,,,
,Shahbagh,,Male,Female,Total,,,,,,,,,,
,, Muslim,41522,21274,62796,,,,,,,,,,
,, Hindu,3164,1680,4844,,,,,,,,,,
,, Christian,268,68,336,,,,,,,,,,
,, Buddhist,99,47,146,,,,,,,,,,
,, Other,4,14,18,,,,,,,,,,
,, Total,45057,23083,68140,,,,,,,,,,
,Shyampur,,Male,Female,Total,,,,,,,,,,
,, Muslim,99449,79164,178613,,,,,,,,,,
,, Hindu,2913,2462,5375,,,,,,,,,,
,, Christian,20,10,30,,,,,,,,,,
,, Buddhist,19,15,34,,,,,,,,,,
,, Other,4,6,10,,,,,,,,,,
,, Total,102405,81657,184062,,,,,,,,,,
,Sher-e-bangla nagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,69847,56076,125923,,,,,,,,,,
,, Hindu,3752,2850,6602,,,,,,,,,,
,, Christian,2092,2418,4510,,,,,,,,,,
,, Buddhist,255,198,453,,,,,,,,,,
,, Other,44,41,85,,,,,,,,,,
,, Total,75990,61583,137573,,,,,,,,,,
,Sutrapur,,Male,Female,Total,,,,,,,,,,
,, Muslim,105372,77049,182421,,,,,,,,,,
,, Hindu,15159,12499,27658,,,,,,,,,,
,, Christian,439,548,987,,,,,,,,,,
,, Buddhist,95,44,139,,,,,,,,,,
,, Other,2,3,5,,,,,,,,,,
,, Total,121067,90143,211210,,,,,,,,,,
,Tejgaon,,Male,Female,Total,,,,,,,,,,
,, Muslim,76483,55573,132056,,,,,,,,,,
,, Hindu,4441,3698,8139,,,,,,,,,,
,, Christian,3541,4158,7699,,,,,,,,,,
,, Buddhist,139,152,291,,,,,,,,,,
,, Other,29,41,70,,,,,,,,,,
,, Total,84633,63622,148255,,,,,,,,,,
,Tejgaon ind. area,,Male,Female,Total,,,,,,,,,,
,, Muslim,88272,54304,142576,,,,,,,,,,
,, Hindu,2409,1305,3714,,,,,,,,,,
,, Christian,159,134,293,,,,,,,,,,
,, Buddhist,88,31,119,,,,,,,,,,
,, Other,19,11,30,,,,,,,,,,
,, Total,90947,55785,146732,,,,,,,,,,
,Turag,,Male,Female,Total,,,,,,,,,,
,, Muslim,83362,68784,152146,,,,,,,,,,
,, Hindu,2850,1934,4784,,,,,,,,,,
,, Christian,177,156,333,,,,,,,,,,
,, Buddhist,38,14,52,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,86428,70888,157316,,,,,,,,,,
,Uttara  purba,,Male,Female,Total,,,,,,,,,,
,, Muslim,97572,75918,173490,,,,,,,,,,
,, Hindu,2939,2000,4939,,,,,,,,,,
,, Christian,543,430,973,,,,,,,,,,
,, Buddhist,251,198,449,,,,,,,,,,
,, Other,44,12,56,,,,,,,,,,
,, Total,101349,78558,179907,,,,,,,,,,
,Uttar khan,,Male,Female,Total,,,,,,,,,,
,, Muslim,39737,36147,75884,,,,,,,,,,
,, Hindu,1388,1177,2565,,,,,,,,,,
,, Christian,226,236,462,,,,,,,,,,
,, Buddhist,11,10,21,,,,,,,,,,
,, Other,-,1,1,,,,,,,,,,
,, Total,41362,37571,78933,,,,,,,,,,
,Alfadanga,,Male,Female,Total,,,,,,,,,,
,, Muslim,47665,52953,100618,,,,,,,,,,
,, Hindu,3936,3743,7679,,,,,,,,,,
,, Christian,1,3,4,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Total,51603,56699,108302,,,,,,,,,,
,Bhanga,,Male,Female,Total,,,,,,,,,,
,, Muslim,115521,124127,239648,,,,,,,,,,
,, Hindu,9794,9577,19371,,,,,,,,,,
,, Christian,7,4,11,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Total,125324,133708,259032,,,,,,,,,,
,Boalmari,,Male,Female,Total,,,,,,,,,,
,, Muslim,111346,115370,226716,,,,,,,,,,
,, Hindu,15003,14779,29782,,,,,,,,,,
,, Christian,11,14,25,,,,,,,,,,
,, Buddhist,15,10,25,,,,,,,,,,
,, Other,53,57,110,,,,,,,,,,
,, Total,126428,130230,256658,,,,,,,,,,
,Char Bhadrasan,,Male,Female,Total,,,,,,,,,,
,, Muslim,28200,30930,59130,,,,,,,,,,
,, Hindu,2156,2189,4345,,,,,,,,,,
,, Other,1,1,2,,,,,,,,,,
,, Total,30357,33120,63477,,,,,,,,,,
,Faridpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,210222,209881,420103,,,,,,,,,,
,, Hindu,25037,23223,48260,,,,,,,,,,
,, Christian,401,442,843,,,,,,,,,,
,, Buddhist,14,6,20,,,,,,,,,,
,, Other,88,96,184,,,,,,,,,,
,, Total,235762,233648,469410,,,,,,,,,,
,Madhukhali,,Male,Female,Total,,,,,,,,,,
,, Muslim,85233,86797,172030,,,,,,,,,,
,, Hindu,16373,15859,32232,,,,,,,,,,
,, Christian,13,22,35,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,99,94,193,,,,,,,,,,
,, Total,101719,102773,204492,,,,,,,,,,
,Nagarkanda,,Male,Female,Total,,,,,,,,,,
,, Muslim,89589,91178,180767,,,,,,,,,,
,, Hindu,8694,8424,17118,,,,,,,,,,
,, Christian,6,6,12,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Total,98290,99608,197898,,,,,,,,,,
,Sadarpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,84382,91354,175736,,,,,,,,,,
,, Hindu,5282,5236,10518,,,,,,,,,,
,, Total,89664,96590,186254,,,,,,,,,,
,Saltha,,Male,Female,Total,,,,,,,,,,
,, Muslim,77432,78953,156385,,,,,,,,,,
,, Hindu,5666,5395,11061,,,,,,,,,,
,, Total,83098,84348,167446,,,,,,,,,,
,Gazipur,,Male,Female,Total,,,,,,,,,,
,, Muslim,935631,808363,1743994,,,,,,,,,,
,, Hindu,37852,32530,70382,,,,,,,,,,
,, Christian,2702,2406,5108,,,,,,,,,,
,, Buddhist,336,220,556,,,,,,,,,,
,, Other,162,172,334,,,,,,,,,,
,, Total,976683,843691,1820374,,,,,,,,,,
,Kaliakair,,Male,Female,Total,,,,,,,,,,
,, Muslim,224840,212556,437396,,,,,,,,,,
,, Hindu,22133,21455,43588,,,,,,,,,,
,, Christian,774,605,1379,,,,,,,,,,
,, Buddhist,46,31,77,,,,,,,,,,
,, Other,426,442,868,,,,,,,,,,
,, Total,248219,235089,483308,,,,,,,,,,
,Kaliganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,111168,109102,220270,,,,,,,,,,
,, Hindu,14440,14224,28664,,,,,,,,,,
,, Christian,7608,8686,16294,,,,,,,,,,
,, Buddhist,6,7,13,,,,,,,,,,
,, Other,24,11,35,,,,,,,,,,
,, Total,133246,132030,265276,,,,,,,,,,
,Kapasia,,Male,Female,Total,,,,,,,,,,
,, Muslim,156455,166270,322725,,,,,,,,,,
,, Hindu,9242,9367,18609,,,,,,,,,,
,, Christian,43,531,574,,,,,,,,,,
,, Buddhist,1,2,3,,,,,,,,,,
,, Other,123,128,251,,,,,,,,,,
,, Total,165864,176298,342162,,,,,,,,,,
,Sreepur,,Male,Female,Total,,,,,,,,,,
,, Muslim,242578,233420,475998,,,,,,,,,,
,, Hindu,7906,7433,15339,,,,,,,,,,
,, Christian,305,183,488,,,,,,,,,,
,, Buddhist,37,15,52,,,,,,,,,,
,, Other,472,443,915,,,,,,,,,,
,, Total,251298,241494,492792,,,,,,,,,,
,Gopalganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,125849,125557,251406,,,,,,,,,,
,, Hindu,46268,44417,90685,,,,,,,,,,
,, Christian,681,851,1532,,,,,,,,,,
,, Buddhist,9,10,19,,,,,,,,,,
,, Other,184,182,366,,,,,,,,,,
,, Total,172991,171017,344008,,,,,,,,,,
,Kashiani,,Male,Female,Total,,,,,,,,,,
,, Muslim,77535,85952,163487,,,,,,,,,,
,, Hindu,22307,21693,44000,,,,,,,,,,
,, Christian,65,55,120,,,,,,,,,,
,, Buddhist,2,1,3,,,,,,,,,,
,, Other,3,2,5,,,,,,,,,,
,, Total,99912,107703,207615,,,,,,,,,,
,Kotalipara,,Male,Female,Total,,,,,,,,,,
,, Muslim,53154,56190,109344,,,,,,,,,,
,, Hindu,57363,57762,115125,,,,,,,,,,
,, Christian,2943,3019,5962,,,,,,,,,,
,, Buddhist,9,-,9,,,,,,,,,,
,, Other,23,30,53,,,,,,,,,,
,, Total,113492,117001,230493,,,,,,,,,,
,Muksudpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,101264,108244,209508,,,,,,,,,,
,, Hindu,37088,37469,74557,,,,,,,,,,
,, Christian,2556,2695,5251,,,,,,,,,,
,, Buddhist,25,23,48,,,,,,,,,,
,, Other,23,19,42,,,,,,,,,,
,, Total,140956,148450,289406,,,,,,,,,,
,Tungipara,,Male,Female,Total,,,,,,,,,,
,, Muslim,35303,36067,71370,,,,,,,,,,
,, Hindu,15167,14260,29427,,,,,,,,,,
,, Christian,43,43,86,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,4,5,9,,,,,,,,,,
,, Total,50517,50376,100893,,,,,,,,,,
,Bakshiganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,106143,109637,215780,,,,,,,,,,
,, Hindu,1268,1257,2525,,,,,,,,,,
,, Christian,284,292,576,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,21,26,47,,,,,,,,,,
,, Total,107718,111212,218930,,,,,,,,,,
,Dewanganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,124520,129407,253927,,,,,,,,,,
,, Hindu,2027,2037,4064,,,,,,,,,,
,, Christian,1,2,3,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,74,63,137,,,,,,,,,,
,, Total,126623,131510,258133,,,,,,,,,,
,Islampur,,Male,Female,Total,,,,,,,,,,
,, Muslim,146233,147928,294161,,,,,,,,,,
,, Hindu,2147,1999,4146,,,,,,,,,,
,, Christian,1,2,3,,,,,,,,,,
,, Other,58,61,119,,,,,,,,,,
,, Total,148439,149990,298429,,,,,,,,,,
,Jamalpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,295894,307336,603230,,,,,,,,,,
,, Hindu,5756,5580,11336,,,,,,,,,,
,, Christian,162,132,294,,,,,,,,,,
,, Buddhist,-,2,2,,,,,,,,,,
,, Other,100,110,210,,,,,,,,,,
,, Total,301912,313160,615072,,,,,,,,,,
,Madarganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,128030,131060,259090,,,,,,,,,,
,, Hindu,2285,2196,4481,,,,,,,,,,
,, Christian,6,2,8,,,,,,,,,,
,, Buddhist,2,1,3,,,,,,,,,,
,, Other,16,10,26,,,,,,,,,,
,, Total,130339,133269,263608,,,,,,,,,,
,Melandaha,,Male,Female,Total,,,,,,,,,,
,, Muslim,152139,157080,309219,,,,,,,,,,
,, Hindu,1923,1949,3872,,,,,,,,,,
,, Christian,6,5,11,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,41,38,79,,,,,,,,,,
,, Total,154110,159072,313182,,,,,,,,,,
,Sarishabari,,Male,Female,Total,,,,,,,,,,
,, Muslim,155277,161497,316774,,,,,,,,,,
,, Hindu,4215,4193,8408,,,,,,,,,,
,, Christian,66,24,90,,,,,,,,,,
,, Buddhist,2,3,5,,,,,,,,,,
,, Other,23,20,43,,,,,,,,,,
,, Total,159583,165737,325320,,,,,,,,,,
,Austagram,,Male,Female,Total,,,,,,,,,,
,, Muslim,65359,66641,132000,,,,,,,,,,
,, Hindu,9894,10600,20494,,,,,,,,,,
,, Christian,5,4,9,,,,,,,,,,
,, Other,7,13,20,,,,,,,,,,
,, Total,75265,77258,152523,,,,,,,,,,
,Bajitpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,110763,115854,226617,,,,,,,,,,
,, Hindu,11080,11009,22089,,,,,,,,,,
,, Christian,11,9,20,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,1,2,3,,,,,,,,,,
,, Total,121856,126874,248730,,,,,,,,,,
,Bhairab,,Male,Female,Total,,,,,,,,,,
,, Muslim,140895,145562,286457,,,,,,,,,,
,, Hindu,6018,5797,11815,,,,,,,,,,
,, Christian,12,20,32,,,,,,,,,,
,, Buddhist,3,1,4,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,146929,151380,298309,,,,,,,,,,
,Hossainpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,88419,91815,180234,,,,,,,,,,
,, Hindu,1749,1776,3525,,,,,,,,,,
,, Christian,20,17,37,,,,,,,,,,
,, Other,41,47,88,,,,,,,,,,
,, Total,90229,93655,183884,,,,,,,,,,
,Itna,,Male,Female,Total,,,,,,,,,,
,, Muslim,71766,68314,140080,,,,,,,,,,
,, Hindu,11949,11934,23883,,,,,,,,,,
,, Christian,14,13,27,,,,,,,,,,
,, Buddhist,-,2,2,,,,,,,,,,
,, Other,61,74,135,,,,,,,,,,
,, Total,83790,80337,164127,,,,,,,,,,
,Karimganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,138795,143569,282364,,,,,,,,,,
,, Hindu,2608,2562,5170,,,,,,,,,,
,, Christian,4,1,5,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,122,142,264,,,,,,,,,,
,, Total,141531,146276,287807,,,,,,,,,,
,Katiadi,,Male,Female,Total,,,,,,,,,,
,, Muslim,145490,157968,303458,,,,,,,,,,
,, Hindu,5475,5482,10957,,,,,,,,,,
,, Christian,7,14,21,,,,,,,,,,
,, Other,45,48,93,,,,,,,,,,
,, Total,151017,163512,314529,,,,,,,,,,
,Kishoreganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,193779,197933,391712,,,,,,,,,,
,, Hindu,11214,11086,22300,,,,,,,,,,
,, Christian,36,24,60,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,64,68,132,,,,,,,,,,
,, Total,205095,209113,414208,,,,,,,,,,
,Kuliar Char,,Male,Female,Total,,,,,,,,,,
,, Muslim,81786,87898,169684,,,,,,,,,,
,, Hindu,6110,6318,12428,,,,,,,,,,
,, Christian,3,3,6,,,,,,,,,,
,, Buddhist,1,3,4,,,,,,,,,,
,, Other,55,59,114,,,,,,,,,,
,, Total,87955,94281,182236,,,,,,,,,,
,Mithamain,,Male,Female,Total,,,,,,,,,,
,, Muslim,57947,56183,114130,,,,,,,,,,
,, Hindu,3818,3955,7773,,,,,,,,,,
,, Christian,2,4,6,,,,,,,,,,
,, Other,64,53,117,,,,,,,,,,
,, Total,61831,60195,122026,,,,,,,,,,
,Nikli,,Male,Female,Total,,,,,,,,,,
,, Muslim,63773,63417,127190,,,,,,,,,,
,, Hindu,3200,3297,6497,,,,,,,,,,
,, Christian,2,2,4,,,,,,,,,,
,, Other,22,16,38,,,,,,,,,,
,, Total,66997,66732,133729,,,,,,,,,,
,Pakundia,,Male,Female,Total,,,,,,,,,,
,, Muslim,118150,127079,245229,,,,,,,,,,
,, Hindu,2374,2416,4790,,,,,,,,,,
,, Christian,17,9,26,,,,,,,,,,
,, Other,7,8,15,,,,,,,,,,
,, Total,120548,129512,250060,,,,,,,,,,
,Tarail,,Male,Female,Total,,,,,,,,,,
,, Muslim,75742,77110,152852,,,,,,,,,,
,, Hindu,3422,3395,6817,,,,,,,,,,
,, Christian,9,7,16,,,,,,,,,,
,, Other,26,28,54,,,,,,,,,,
,, Total,79199,80540,159739,,,,,,,,,,
,Kalkini,,Male,Female,Total,,,,,,,,,,
,, Muslim,117409,123642,241051,,,,,,,,,,
,, Hindu,16181,15767,31948,,,,,,,,,,
,, Christian,124,135,259,,,,,,,,,,
,, Total,133714,139544,273258,,,,,,,,,,
,Madaripur,,Male,Female,Total,,,,,,,,,,
,, Muslim,158701,162474,321175,,,,,,,,,,
,, Hindu,12568,11907,24475,,,,,,,,,,
,, Christian,40,39,79,,,,,,,,,,
,, Buddhist,11,13,24,,,,,,,,,,
,, Other,9,2,11,,,,,,,,,,
,, Total,171329,174435,345764,,,,,,,,,,
,Rajoir,,Male,Female,Total,,,,,,,,,,
,, Muslim,75671,79771,155442,,,,,,,,,,
,, Hindu,36982,35527,72509,,,,,,,,,,
,, Christian,369,376,745,,,,,,,,,,
,, Buddhist,5,3,8,,,,,,,,,,
,, Other,4,2,6,,,,,,,,,,
,, Total,113031,115679,228710,,,,,,,,,,
,Shib Char,,Male,Female,Total,,,,,,,,,,
,, Muslim,150269,155765,306034,,,,,,,,,,
,, Hindu,6227,5938,12165,,,,,,,,,,
,, Christian,5,3,8,,,,,,,,,,
,, Buddhist,4,-,4,,,,,,,,,,
,, Other,3,6,9,,,,,,,,,,
,, Total,156508,161712,318220,,,,,,,,,,
,Daulatpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,76261,82014,158275,,,,,,,,,,
,, Hindu,4206,4502,8708,,,,,,,,,,
,, Christian,18,11,29,,,,,,,,,,
,, Other,4,10,14,,,,,,,,,,
,, Total,80489,86537,167026,,,,,,,,,,
,Ghior,,Male,Female,Total,,,,,,,,,,
,, Muslim,61670,65711,127381,,,,,,,,,,
,, Hindu,9271,9630,18901,,,,,,,,,,
,, Christian,2,4,6,,,,,,,,,,
,, Other,2,2,4,,,,,,,,,,
,, Total,70945,75347,146292,,,,,,,,,,
,Harirampur,,Male,Female,Total,,,,,,,,,,
,, Muslim,58068,65126,123194,,,,,,,,,,
,, Hindu,7740,8365,16105,,,,,,,,,,
,, Christian,3,8,11,,,,,,,,,,
,, Other,4,4,8,,,,,,,,,,
,, Total,65815,73503,139318,,,,,,,,,,
,Manikganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,133628,143477,277105,,,,,,,,,,
,, Hindu,15733,16496,32229,,,,,,,,,,
,, Christian,45,32,77,,,,,,,,,,
,, Other,1,1,2,,,,,,,,,,
,, Total,149407,160006,309413,,,,,,,,,,
,Saturia,,Male,Female,Total,,,,,,,,,,
,, Muslim,76325,80407,156732,,,,,,,,,,
,, Hindu,7306,7421,14727,,,,,,,,,,
,, Christian,16,9,25,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,4,2,6,,,,,,,,,,
,, Total,83653,87841,171494,,,,,,,,,,
,Shibalaya,,Male,Female,Total,,,,,,,,,,
,, Muslim,74169,75331,149500,,,,,,,,,,
,, Hindu,10885,11160,22045,,,,,,,,,,
,, Christian,129,135,264,,,,,,,,,,
,, Other,33,31,64,,,,,,,,,,
,, Total,85216,86657,171873,,,,,,,,,,
,Singair,,Male,Female,Total,,,,,,,,,,
,, Muslim,132160,137868,270028,,,,,,,,,,
,, Hindu,8643,8737,17380,,,,,,,,,,
,, Christian,26,9,35,,,,,,,,,,
,, Other,5,3,8,,,,,,,,,,
,, Total,140834,146617,287451,,,,,,,,,,
,Gazaria,,Male,Female,Total,,,,,,,,,,
,, Muslim,76159,76730,152889,,,,,,,,,,
,, Hindu,2561,2490,5051,,,,,,,,,,
,, Christian,10,6,16,,,,,,,,,,
,, Buddhist,3,2,5,,,,,,,,,,
,, Other,11,16,27,,,,,,,,,,
,, Total,78744,79244,157988,,,,,,,,,,
,Lohajang,,Male,Female,Total,,,,,,,,,,
,, Muslim,72720,73578,146298,,,,,,,,,,
,, Hindu,6484,6383,12867,,,,,,,,,,
,, Christian,20,2,22,,,,,,,,,,
,, Buddhist,22,31,53,,,,,,,,,,
,, Other,1,1,2,,,,,,,,,,
,, Total,79247,79995,159242,,,,,,,,,,
,Munshiganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,185377,180236,365613,,,,,,,,,,
,, Hindu,9083,8491,17574,,,,,,,,,,
,, Christian,36,21,57,,,,,,,,,,
,, Buddhist,8,3,11,,,,,,,,,,
,, Other,4,4,8,,,,,,,,,,
,, Total,194508,188755,383263,,,,,,,,,,
,Serajdikhan,,Male,Female,Total,,,,,,,,,,
,, Muslim,124542,124490,249032,,,,,,,,,,
,, Hindu,18218,18982,37200,,,,,,,,,,
,, Christian,792,1070,1862,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,6,6,12,,,,,,,,,,
,, Total,143559,144548,288107,,,,,,,,,,
,Sreenagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,114022,119040,233062,,,,,,,,,,
,, Hindu,13301,13454,26755,,,,,,,,,,
,, Christian,49,15,64,,,,,,,,,,
